"Date","Price","Open","High","Low","Vol.","Change %"
"02/24/2023","37,477","37,845","37,981","37,508","0.39K","-0.77%"
"02/23/2023","37,767","38,500","38,500","36,622","0.73K","0.83%"
"02/22/2023","37,457","37,742","38,006","37,396","0.68K","-1.25%"
"02/21/2023","37,931","38,427","38,427","37,811","0.39K","-0.30%"
"02/20/2023","38,047","37,902","38,207","37,902","0.40K","0.38%"
"02/17/2023","37,902","38,300","39,321","37,992","0.12K","-1.45%"
"02/16/2023","38,460","38,590","38,731","38,311","0.39K","0.66%"
"02/15/2023","38,208","37,900","38,446","37,012","0.88K","0.68%"
"02/14/2023","37,951","38,905","38,905","37,491","2.84K","0.28%"
"02/13/2023","37,844","37,912","38,291","37,722","0.30K","1.00%"
"02/10/2023","37,471","36,034","37,622","36,034","0.04K","-0.48%"
"02/09/2023","37,653","37,912","37,912","37,797","0.03K","-0.68%"
"02/08/2023","37,912","38,236","38,236","37,242","0.02K","1.79%"
"02/07/2023","37,245","37,203","38,322","36,229","0.11K","0.14%"
"02/06/2023","37,192","36,800","37,250","36,040","0.90K","2.70%"
"02/03/2023","36,213","36,000","36,800","36,000","0.30K","0.00%"
"02/02/2023","36,214","36,064","36,427","35,103","0.50K","0.42%"
"02/01/2023","36,064","36,800","36,800","35,946","0.46K","-0.24%"
"01/31/2023","36,152","36,513","36,513","35,803","0.16K","0.00%"
"01/30/2023","36,151","36,800","36,800","35,000","0.23K","0.66%"
"01/27/2023","35,913","36,800","36,800","35,427","0.48K","0.84%"
"01/26/2023","35,615","35,000","35,580","35,000","0.04K","1.46%"
"01/25/2023","35,102","35,689","35,689","35,000","0.02K","-1.80%"
"01/24/2023","35,747","35,400","36,491","35,336","0.37K","2.18%"
"01/23/2023","34,983","34,566","35,400","34,566","0.13K","1.03%"
"01/20/2023","34,627","34,818","35,166","34,731","0.28K","-0.12%"
"01/19/2023","34,670","34,688","34,709","34,688","0.28K","-0.52%"
"01/18/2023","34,850","35,300","35,300","35,004","0.20K","-1.10%"
"01/17/2023","35,236","33,656","35,401","33,656","2.16K","0.84%"
"01/16/2023","34,944","36,000","36,711","34,985","10.18K","1.73%"
"01/13/2023","34,351","34,641","34,641","34,236","0.14K","0.15%"
"01/12/2023","34,298","33,660","34,627","33,660","0.07K","-0.12%"
"01/11/2023","34,340","34,468","34,514","34,114","0.09K","0.62%"
"01/10/2023","34,127","34,243","34,265","33,931","0.20K","-0.34%"
"01/09/2023","34,243","34,286","34,445","34,014","0.39K","0.87%"
"01/06/2023","33,947","33,788","33,897","33,768","0.20K","1.08%"
"01/05/2023","33,584","35,500","35,500","33,692","0.11K","1.07%"
"01/04/2023","33,229","33,605","34,050","33,020","0.31K","-1.27%"
"01/03/2023","33,655","33,970","34,220","33,605","0.51K","0.62%"
"12/30/2022","33,447","33,717","33,717","33,717","0.01K","0.19%"
"12/29/2022","33,383","33,000","33,516","33,000","0.30K","-1.44%"
"12/28/2022","33,872","33,970","34,071","33,692","0.38K","0.72%"
"12/23/2022","33,630","33,500","33,715","33,408","0.05K","-0.46%"
"12/22/2022","33,787","34,224","34,224","34,187","0.07K","-1.28%"
"12/21/2022","34,224","33,887","34,396","33,887","0.04K","0.99%"
"12/20/2022","33,887","35,150","35,502","33,511","0.11K","-3.59%"
"12/19/2022","35,150","35,386","35,386","34,370","0.34K","0.33%"
"12/15/2022","35,036","35,493","35,493","34,885","0.03K","-1.53%"
"12/14/2022","35,581","36,882","36,882","35,202","0.16K","-2.56%"
"12/13/2022","36,517","34,948","36,774","33,756","0.44K","2.73%"
"12/12/2022","35,546","36,296","36,296","34,948","0.74K","0.42%"
"12/09/2022","35,396","35,328","35,328","34,948","0.05K","1.20%"
"12/08/2022","34,978","34,667","34,836","34,602","0.03K","0.90%"
"12/07/2022","34,667","35,260","35,613","34,761","0.77K","-2.11%"
"12/06/2022","35,416","34,911","35,735","34,911","1.25K","-1.03%"
"12/05/2022","35,786","37,500","37,600","35,901","0.65K","-1.02%"
