"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2023","7,275","7,216","7,349","7,216","110.67K","0.18%"
"01/11/2023","7,262","7,190","7,314","7,016","55.00K","0.67%"
"01/10/2023","7,214","7,200","7,240","7,159","64.60K","-0.50%"
"01/09/2023","7,250","7,099","7,281","7,099","194.94K","2.29%"
"01/06/2023","7,088","6,920","7,147","6,750","127.43K","2.03%"
"01/05/2023","6,947","6,950","7,019","6,901","123.64K","0.89%"
"01/04/2023","6,886","7,000","7,020","6,800","159.49K","0.26%"
"01/03/2023","6,868","6,785","6,896","6,737","137.91K","2.08%"
"12/30/2022","6,728","6,718","6,766","6,686","16.50K","-0.55%"
"12/29/2022","6,765","6,989","6,989","6,670","39.75K","-1.24%"
"12/28/2022","6,850","6,995","6,995","6,682","109.69K","1.30%"
"12/23/2022","6,762","6,819","6,819","6,695","15.13K","0.67%"
"12/22/2022","6,717","6,830","6,834","6,733","71.88K","-1.08%"
"12/21/2022","6,790","6,900","6,900","6,714","53.99K","1.31%"
"12/20/2022","6,702","6,695","6,741","6,607","47.61K","-0.71%"
"12/19/2022","6,750","7,025","7,025","6,650","35.21K","0.61%"
"12/15/2022","6,709","6,760","6,840","6,675","304.45K","-1.99%"
"12/14/2022","6,845","6,900","6,938","6,807","118.97K","-2.20%"
"12/13/2022","6,999","6,930","7,026","6,837","154.29K","2.21%"
"12/12/2022","6,848","6,771","6,900","6,742","110.30K","-0.28%"
"12/09/2022","6,867","6,929","6,929","6,843","74.41K","0.38%"
"12/08/2022","6,841","6,775","6,865","6,775","115.29K","0.47%"
"12/07/2022","6,809","6,925","6,930","6,755","74.04K","-0.82%"
"12/06/2022","6,865","6,750","6,900","6,750","129.13K","-0.38%"
"12/05/2022","6,891","6,950","6,950","6,873","227.10K","0.86%"
"12/02/2022","6,832","6,899","6,917","6,757","195.40K","-0.76%"
"12/01/2022","6,884","6,864","7,040","6,560","265.52K","0.29%"
"11/30/2022","6,864","6,728","6,904","6,724","224.20K","2.42%"
"11/29/2022","6,702","6,600","6,797","6,600","130.90K","-0.33%"
"11/28/2022","6,724","6,799","6,799","6,630","184.07K","0.39%"
"11/25/2022","6,698","6,630","6,735","6,624","137.40K","-0.03%"
"11/24/2022","6,700","6,700","6,730","6,660","279.94K","0.27%"
"11/23/2022","6,682","6,505","6,689","6,505","96.26K","0.86%"
"11/22/2022","6,625","6,599","6,639","6,540","172.46K","0.75%"
"11/21/2022","6,576","6,700","6,700","6,536","84.43K","-0.92%"
"11/18/2022","6,637","6,600","6,679","6,593","92.78K","0.68%"
"11/17/2022","6,592","6,534","6,668","6,534","105.21K","-0.74%"
"11/16/2022","6,641","6,501","6,724","6,501","183.58K","-0.46%"
"11/15/2022","6,672","6,750","6,750","6,508","271.42K","0.41%"
"11/14/2022","6,645","6,750","6,750","6,632","101.78K","-0.17%"
"11/11/2022","6,656","6,500","6,699","6,500","678.48K","3.90%"
"11/10/2022","6,406","6,367","6,400","6,220","114.99K","1.62%"
"11/09/2022","6,304","6,299","6,335","6,269","166.03K","0.75%"
"11/08/2022","6,257","6,400","6,400","6,213","123.40K","-0.67%"
"11/07/2022","6,299","6,299","6,311","6,140","118.15K","1.78%"
"11/04/2022","6,189","6,107","6,290","5,972","229.60K","3.81%"
"11/03/2022","5,962","6,077","6,101","5,925","217.19K","-1.73%"
"11/02/2022","6,067","6,200","6,200","6,054","84.08K","-0.57%"
"11/01/2022","6,102","6,090","6,189","6,090","168.99K","1.26%"
"10/31/2022","6,026","6,040","6,050","5,990","51.62K","0.62%"
"10/28/2022","5,989","6,090","6,090","5,922","114.65K","-1.20%"
"10/27/2022","6,062","6,049","6,070","6,006","179.88K","0.15%"
"10/26/2022","6,053","6,020","6,095","5,970","86.10K","2.04%"
"10/25/2022","5,932","5,998","5,998","5,857","229.11K","1.51%"
"10/24/2022","5,844","5,999","6,000","5,830","1.92M","-1.37%"
"10/21/2022","5,925","5,900","5,964","5,848","88.17K","-0.30%"
"10/20/2022","5,943","5,850","5,961","5,850","464.41K","0.05%"
"10/19/2022","5,940","6,100","6,200","5,899","172.98K","-2.78%"
"10/18/2022","6,110","6,150","6,178","6,088","197.07K","0.51%"
"10/17/2022","6,079","5,971","6,108","5,900","620.30K","2.88%"
"10/14/2022","5,909","6,099","6,099","5,901","100.68K","-0.29%"
"10/13/2022","5,926","5,950","5,978","5,850","82.26K","-0.19%"
